A,,,,Proposed category,Subcategory(If applied),PureURL
SYSTEM$GLOBAL_ACCOUNT_SET_PARAMETER,Enables replication and failover features for a specified account in an organization.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_global_account_set_parameter
SYSTEM$INITIATE_MOVE_ORGANIZATION_ACCOUNT,Starts the process of moving an organization account to a new region.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_initiate_move_organization_account
SYSTEM$INTERNAL_STAGES_PUBLIC_ACCESS_STATUS,Checks to see whether public IP addresses are allowed to access the internal stage of the current Snowflake account on Microsoft Azure.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_internal_stages_public_access_status
SYSTEM$IS_APPLICATION_INSTALLED_FROM_SAME_ACCOUNT,Shows if an app is installed on the same account as the application package it is based on.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_is_application_installed_from_same_account
SYSTEM$IS_APPLICATION_SHARING_EVENTS_WITH_PROVIDER,Shows if event sharing is enabled.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_is_application_sharing_events_with_provider
SYSTEM$LAST_CHANGE_COMMIT_TIME,Returns a token that can be used to detect whether a database table or view changed between two calls to the function.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_last_change_commit_time
SYSTEM$LINK_ACCOUNT_OBJECTS_BY_NAME,Adds a global identifier to account objects in the target (current) account that were created using scripts and that match objects with the same names in the source account.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_link_account_objects_by_name
SYSTEM$LIST_APPLICATION_RESTRICTED_FEATURES,Returns a JSON object containing a list of restricted features that the consumer has allowed a,native-app,,system,native-app,https://docs.snowflake.com/en/sql-reference/functions/system_list_application_restricted_features
SYSTEM$LIST_ICEBERG_TABLES_FROM_CATALOG,Lists tables in a remote,iceberg-tm,,system,iceberg,https://docs.snowflake.com/en/sql-reference/functions/system_list_iceberg_tables_from_catalog
SYSTEM$LIST_NAMESPACES_FROM_CATALOG,Lists the namespaces in a remote,iceberg-tm,,system,iceberg,https://docs.snowflake.com/en/sql-reference/functions/system_list_namespaces_from_catalog
SYSTEM$LOG, SYSTEM$LOG_<level> (for Snowflake Scripting)",Logs a message at the specified severity level.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_log
SYSTEM$MIGRATE_SAML_IDP_REGISTRATION,Migrates an existing SAML identity provider (i.e. IdP) configuration as defined by the account parameter SAML_IDENTITY_PROVIDER to a security integration.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_migrate_saml_idp_registration
SYSTEM$PIPE_FORCE_RESUME,Forces a pipe paused using ALTER PIPE to resume.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_pipe_force_resume
SYSTEM$PIPE_REBINDING_WITH_NOTIFICATION_CHANNEL,Retries the notification channel binding process when a replicated pipe has not been successfully bound to a notification channel during replication time.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_pipe_rebinding_with_notification_channel
SYSTEM$PIPE_STATUS,Retrieves a JSON representation of the current status of a pipe.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_pipe_status
SYSTEM$PROVISION_PRIVATELINK_ENDPOINT,Provisions a private connectivity endpoint in the Snowflake VPC or VNet to enable Snowflake to connect to an external service using private connectivity.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_provision_privatelink_endpoint
SYSTEM$QUERY_REFERENCE,Returns a query reference that you can pass to a stored procedure.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_query_reference
SYSTEM$REFERENCE,"Returns a reference to an object (a table, view, or function).",System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_reference
SYSTEM$REGISTER_CMK_INFO,Registers your customer-managed key (CMK) for use with Tri-Secret Secure.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_register_cmk_info
SYSTEM$REGISTRY_LIST_IMAGES — Deprecated,Lists images in an image repository.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_registry_list_images
SYSTEM$RESTORE_PRIVATELINK_ENDPOINT,Restores a private connectivity endpoint in the Snowflake VPC or VNet to enable Snowflake to connect to an external service using private connectivity.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_restore_privatelink_endpoint
SYSTEM$REVOKE_PRIVATELINK,Disables private connectivity to the Snowflake service for the current account.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_revoke_privatelink
SYSTEM$REVOKE_STAGE_PRIVATELINK_ACCESS,Revokes the authorization for Snowflake to access the Microsoft Azure Private Endpoint for Azure private endpoints for internal stages for the current account.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_revoke_stage_privatelink_access
SYSTEM$SEND_NOTIFICATIONS_TO_CATALOG,Sends a notification to Snowflake Open Catalog to update Snowflake-managed Apache Iceberg™ tables in,opencatalog,,system,opencatalog,https://docs.snowflake.com/en/sql-reference/functions/system_send_notifications_to_catalog
SYSTEM$SET_APPLICATION_RESTRICTED_FEATURE_ACCESS,Enables a restricted feature for a,native-app,,system,native-app,https://docs.snowflake.com/en/sql-reference/functions/system_set_application_restricted_feature_access
SYSTEM$SET_EVENT_SHARING_ACCOUNT_FOR_REGION,Sets the event account for a region.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_set_event_sharing_account_for_region
SYSTEM$SET_RETURN_VALUE,Explicitly sets the return value for a task.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_set_return_value
SYSTEM$SET_SPAN_ATTRIBUTES (for Snowflake Scripting),Sets attribute name and value associated with a span containing trace events.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_set_span_attributes
SYSTEM$SHOW_ACTIVE_BEHAVIOR_CHANGE_BUNDLES,"Returns an array of the currently available behavior change release bundles, the default state of each bundle, and the actual state of the bundle for the current account.",System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_show_active_behavior_change_bundles
SYSTEM$SHOW_BUDGETS_IN_ACCOUNT,Returns the budgets in the account for which you have access privileges.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_show_budgets_in_account
SYSTEM$SHOW_EVENT_SHARING_ACCOUNTS,Shows event accounts in a provider organization.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_show_event_sharing_accounts
SYSTEM$SHOW_MOVE_ORGANIZATION_ACCOUNT_STATUS,Returns the status of an attempt to move an organization account.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_show_move_organization_account_status
SYSTEM$SHOW_OAUTH_CLIENT_SECRETS,Returns the client secrets in a string.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_show_oauth_client_secrets
SYSTEM$SNOWPIPE_STREAMING_UPDATE_CHANNEL_OFFSET_TOKEN,Updates the offset token for a particular channel used by Snowpipe Streaming with a new offset token.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_snowpipe_streaming_update_channel_offset_token
SYSTEM$START_OAUTH_FLOW,"Initiates the OAUTH client flow, returning a URL you use in a browser to complete the OAuth consent process.",System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_start_oauth_flow
SYSTEM$STREAM_BACKLOG,Returns the set of table versions between the current offset for a specified stream and the current timestamp.,"Table functions , System functions",,system,,https://docs.snowflake.com/en/sql-reference/functions/system_stream_backlog
SYSTEM$STREAM_GET_TABLE_TIMESTAMP,Returns the timestamp in nanoseconds of the latest table version at or before the current offset for the specified stream.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_stream_get_table_timestamp
SYSTEM$STREAM_HAS_DATA,Indicates whether a specified stream contains change data capture (CDC) records.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_stream_has_data
SYSTEM$TASK_DEPENDENTS_ENABLE,Recursively resumes a specified task and all its dependent tasks.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_task_dependents_enable
SYSTEM$TASK_RUNTIME_INFO,Returns information about the current task run.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_task_runtime_info
SYSTEM$TYPEOF,Returns a string representing the SQL data type associated with an expression.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_typeof
SYSTEM$UNBLOCK_INTERNAL_STAGES_PUBLIC_ACCESS,Allows traffic from public IP addresses to access the internal stage of the current Snowflake account on Microsoft Azure.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_unblock_internal_stages_public_access
SYSTEM$UNSET_EVENT_SHARING_ACCOUNT_FOR_REGION,Unsets the events account for a region.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_unset_event_sharing_account_for_region
SYSTEM$USER_TASK_CANCEL_ONGOING_EXECUTIONS,Aborts a run of the specified task that the system has already started to process (i.e. a run with an EXECUTING state in the TASK_HISTORY output).,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_user_task_cancel_ongoing_executions
SYSTEM$VALIDATE_STORAGE_INTEGRATION,Validates the configuration for a specified storage integration.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_validate_storage_integration
SYSTEM$VERIFY_CMK_INFO,Verifies your customer-managed key (CMK) configuration and returns a message about the registered CMK.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_verify_cmk_info
SYSTEM$VERIFY_EXTERNAL_OAUTH_TOKEN,Determines whether your External OAuth access token is valid or has expired and needs to be regenerated.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_verify_ext_oauth_token
SYSTEM$VERIFY_EXTERNAL_VOLUME,Verifies the configuration for a specified external volume.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_verify_external_volume
SYSTEM$WAIT,Waits for the specified amount of time before proceeding.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_wait
SYSTEM$WAIT_FOR_SERVICES,Waits for one or more Snowpark Container Services services to reach the READY state (or becomes upgraded) before returning.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_wait_for_services
SYSTEM$WHITELIST — Deprecated,Returns hostnames and port numbers to add to your firewall’s allowed list so that you can access Snowflake from behind your firewall.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_whitelist
SYSTEM$WHITELIST_PRIVATELINK — Deprecated,"Returns hostnames and port numbers for AWS PrivateLink, Azure Private Link, and Google Cloud Private Service Connect deployments to add to your firewall’s allowed list so that you can access Snowflake from behind your firewall.",System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_whitelist_privatelink
SYSTIMESTAMP,Returns the current timestamp for the system.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/systimestamp
T,,,,,,
TAG_REFERENCES,Returns a table in which each row displays an association between a tag and value.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/tag_references
TAG_REFERENCES_ALL_COLUMNS,Returns a table in which each row displays the tag name and tag value assigned to a specific column.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/tag_references_all_columns
TAG_REFERENCES_WITH_LINEAGE,Returns a table in which each row displays an association between the specified tag and the Snowflake object to which the tag is associated.,"Account Usage table functions , Table functions",,account,,https://docs.snowflake.com/en/sql-reference/functions/tag_references_with_lineage
TAN,Computes the tangent of its argument; the argument should be expressed in radians.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/tan
TANH,Computes the hyperbolic tangent of its argument.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/tanh
TASK_DEPENDENTS,This table function returns the list of child tasks for a given root task in a task graph.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/task_dependents
TASK_HISTORY,You can use this table function to query the history of task usage within a specified date range.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/task_history
TEXT_HTML,Returns a JSON object that specifies the HTML message to use for a notification.,Notification functions,,notification,,https://docs.snowflake.com/en/sql-reference/functions/text_html
TEXT_PLAIN,Returns a JSON object that specifies the plain text message to use for a notification.,Notification functions,,notification,,https://docs.snowflake.com/en/sql-reference/functions/text_plain
TIME_FROM_PARTS,Creates a time from individual numeric components.,Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/time_from_parts
TIME_SLICE,"Calculates the beginning or end of a “slice” of time, where the length of the slice is a multiple of a standard unit of time (minute, hour, day, etc.).",Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/time_slice
TIMEADD,"Adds the specified value for the specified date or time part to a date, time, or timestamp.",Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/timeadd
TIMEDIFF,"Calculates the difference between two date, time, or timestamp expressions based on the specified date or time part.",Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/timediff
TIMESTAMP_FROM_PARTS,Creates a timestamp from individual numeric components.,Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/timestamp_from_parts
TIMESTAMPADD,"Adds the specified value for the specified date or time part to a date, time, or timestamp.",Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/timestampadd
TIMESTAMPDIFF,"Calculates the difference between two date, time, or timestamp expressions based on the specified date or time part.",Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/timestampdiff
TO_ARRAY,Converts the input expression to an ARRAY.,"Conversion functions , Semi-structured and structured data functions",,conversion,semi-structured,https://docs.snowflake.com/en/sql-reference/functions/to_array
TO_BINARY,Converts the input expression to a binary value.,Conversion functions,,conversion,,https://docs.snowflake.com/en/sql-reference/functions/to_binary
TO_BOOLEAN,Converts the input text or numeric expression to a BOOLEAN value.,Conversion functions,,conversion,,https://docs.snowflake.com/en/sql-reference/functions/to_boolean
"TO_CHAR , TO_VARCHAR",Converts the input expression to a string.,Conversion functions,,conversion,,https://docs.snowflake.com/en/sql-reference/functions/to_char
"TO_DATE , DATE",Converts an input expression to a date.,"Conversion functions , Date & time functions",,conversion,datetime,https://docs.snowflake.com/en/sql-reference/functions/to_date
"TO_DECIMAL , TO_NUMBER , TO_NUMERIC",Converts an input expression to a fixed-point number.,Conversion functions,,conversion,,https://docs.snowflake.com/en/sql-reference/functions/to_decimal
TO_DOUBLE,Converts an expression to a double-precision floating-point number.,Conversion functions,,conversion,,https://docs.snowflake.com/en/sql-reference/functions/to_double
TO_GEOGRAPHY,Parses an input and returns a value of type GEOGRAPHY.,"Geospatial functions , Conversion functions",,conversion,geospatial,https://docs.snowflake.com/en/sql-reference/functions/to_geography
TO_GEOMETRY,Parses an input and returns a value of type GEOMETRY.,"Geospatial functions , Conversion functions",,conversion,geospatial,https://docs.snowflake.com/en/sql-reference/functions/to_geometry
TO_JSON,Converts a VARIANT value to a string containing the JSON representation of the value.,"Conversion functions , Semi-structured and structured data functions",,conversion,semi-structured,https://docs.snowflake.com/en/sql-reference/functions/to_json
TO_OBJECT,Converts the input value to an OBJECT.,"Conversion functions , Semi-structured and structured data functions",,conversion,semi-structured,https://docs.snowflake.com/en/sql-reference/functions/to_object
TO_QUERY,Returns a result set based on SQL text and an optional set of arguments that are passed to the SQL text if it is parameterized.,Table functions,,table,,https://docs.snowflake.com/en/sql-reference/functions/to_query
"TO_TIME , TIME",Converts an input expression into a time.,"Conversion functions , Date & time functions",,conversion,datetime,https://docs.snowflake.com/en/sql-reference/functions/to_time
TO_TIMESTAMP / TO_TIMESTAMP_*,Converts an input expression into the corresponding timestamp.,"Conversion functions , Date & time functions",,conversion,datetime,https://docs.snowflake.com/en/sql-reference/functions/to_timestamp
TO_VARIANT,Converts any value to a VARIANT value or NULL (if input is NULL).,Conversion functions,,conversion,,https://docs.snowflake.com/en/sql-reference/functions/to_variant
TO_XML,Converts a VARIANT to a VARCHAR that contains an XML representation of the value.,"Conversion functions , Semi-structured and structured data functions",,conversion,semi-structured,https://docs.snowflake.com/en/sql-reference/functions/to_xml
TRANSFORM,Transforms an array based on the logic in a lambda expression.,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/transform
TRANSLATE (SNOWFLAKE.CORTEX),Translates the given input text from one supported language to another.,String & binary functions,,string_binary,llm,https://docs.snowflake.com/en/sql-reference/functions/translate-snowflake-cortex
TRANSLATE,Replaces characters in a string.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/translate
TRIM,Removes leading and trailing characters from a string.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/trim
"TRUNCATE , TRUNC","Rounds the input expression down to the nearest (or equal) integer closer to zero, or to the nearest equal or smaller value with the specified number of places after the decimal point.",Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/trunc
TRUNC,"Truncates a DATE, TIME, or TIMESTAMP value to the specified precision.",Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/trunc2
TRY_BASE64_DECODE_BINARY,A special version of BASE64_DECODE_BINARY that returns a NULL value if an error occurs during decoding.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/try_base64_decode_binary
TRY_BASE64_DECODE_STRING,A special version of BASE64_DECODE_STRING that returns a NULL value if an error occurs during decoding.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/try_base64_decode_string
TRY_CAST,"A special version of CAST , :: that is available for a subset of data type conversions.",Conversion functions,,conversion,,https://docs.snowflake.com/en/sql-reference/functions/try_cast
TRY_COMPLETE (SNOWFLAKE.CORTEX),Performs the same operation as the COMPLETE function but returns NULL instead of raising an error when the operation cannot be performed.,String & binary functions,,string_binary,llm,https://docs.snowflake.com/en/sql-reference/functions/try_complete-snowflake-cortex
TRY_DECRYPT,A special version of DECRYPT that returns a NULL value if an error occurs during decryption.,Encryption functions,,encryption,,https://docs.snowflake.com/en/sql-reference/functions/try_decrypt
TRY_DECRYPT_RAW,A special version of DECRYPT_RAW that returns a NULL value if an error occurs during decryption.,Encryption functions,,encryption,,https://docs.snowflake.com/en/sql-reference/functions/try_decrypt_raw
TRY_HEX_DECODE_BINARY,A special version of HEX_DECODE_BINARY that returns a NULL value if an error occurs during decoding.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/try_hex_decode_binary
TRY_HEX_DECODE_STRING,A special version of HEX_DECODE_STRING that returns a NULL value if an error occurs during decoding.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/try_hex_decode_string
TRY_PARSE_JSON,A special version of PARSE_JSON that returns a NULL value if an error occurs during parsing.,Semi-structured and structured data functions,,semi-structured,json,https://docs.snowflake.com/en/sql-reference/functions/try_parse_json
TRY_TO_BINARY,"A special version of TO_BINARY that performs the same operation (i.e. converts an input expression to a binary value), but with error handling support (i.e. if the conversion cannot be performed, it returns a NULL value instead of raising an error).",Conversion functions,,conversion,,https://docs.snowflake.com/en/sql-reference/functions/try_to_binary
TRY_TO_BOOLEAN,"A special version of TO_BOOLEAN that performs the same operation (that is, converts an input expression to a Boolean value), but with error-handling support.",Conversion functions,,conversion,,https://docs.snowflake.com/en/sql-reference/functions/try_to_boolean
TRY_TO_DATE,"A special version of the TO_DATE function that performs the same operation (i.e. converts an input expression to a date), but with error-handling support (i.e. if the conversion cannot be performed, it returns a NULL value instead of raising an error).","Conversion functions , Date & time functions",,conversion,datetime,https://docs.snowflake.com/en/sql-reference/functions/try_to_date
"TRY_TO_DECIMAL, TRY_TO_NUMBER, TRY_TO_NUMERIC","A special version of TO_DECIMAL , TO_NUMBER , TO_NUMERIC that performs the same operation (i.e. converts an input expression to a fixed-point number), but with error-handling support (i.e. if the conversion cannot be performed, it returns a NULL value instead of raising an error).",Conversion functions,,conversion,,https://docs.snowflake.com/en/sql-reference/functions/try_to_decimal
TRY_TO_DOUBLE,"A special version of TO_DOUBLE that performs the same operation (that is, converts an input expression to a double-precision floating-point number), but with error-handling support (that is, if the conversion can’t be performed, it returns a NULL value instead of raising an error).",Conversion functions,,conversion,,https://docs.snowflake.com/en/sql-reference/functions/try_to_double
TRY_TO_GEOGRAPHY,Parses an input and returns a value of type GEOGRAPHY.,"Geospatial functions , Conversion functions",,conversion,geospatial,https://docs.snowflake.com/en/sql-reference/functions/try_to_geography
TRY_TO_GEOMETRY,Parses an input and returns a value of type GEOMETRY.,"Geospatial functions , Conversion functions",,conversion,geospatial,https://docs.snowflake.com/en/sql-reference/functions/try_to_geometry
TRY_TO_TIME,"A special version of TO_TIME , TIME that performs the same operation (i.e. converts an input expression into a time), but with error-handling support (i.e. if the conversion cannot be performed, it returns a NULL value instead of raising an error).",Conversion functions,,conversion,,https://docs.snowflake.com/en/sql-reference/functions/try_to_time
TRY_TO_TIMESTAMP / TRY_TO_TIMESTAMP_*,"A special version of TO_TIMESTAMP / TO_TIMESTAMP_* that performs the same operation (i.e. converts an input expression into a timestamp), but with error-handling support (i.e. if the conversion cannot be performed, it returns a NULL value instead of raising an error).",Conversion functions,,conversion,,https://docs.snowflake.com/en/sql-reference/functions/try_to_timestamp
TYPEOF,Returns the type of a value stored in a VARIANT column.,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/typeof
U,,,,,,
UNICODE,Returns the Unicode code point for the first Unicode character in a string.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/unicode
UNIFORM,"Generates a uniformly-distributed pseudo-random number in the inclusive range [min, max].",Data generation functions,,generation,,https://docs.snowflake.com/en/sql-reference/functions/uniform
UPPER,Returns the input string with all characters converted to uppercase.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/upper
UUID_STRING,Generates either a version 4 (random) or version 5 (named) RFC 4122-compliant universally unique identifier (UUID) as a formatted string.,"String & binary functions , Data generation functions",,generation,string,https://docs.snowflake.com/en/sql-reference/functions/uuid_string
V,,,,,,
VALIDATE,"Validates the files loaded in a past execution of the COPY INTO <table> command and returns all the errors encountered during the load, rather than just the first error.",Table functions,,table,,https://docs.snowflake.com/en/sql-reference/functions/validate
VALIDATE_PIPE_LOAD,This table function can be used to validate data files processed by Snowpipe within a specified time range.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/validate_pipe_load
VAR_POP,Returns the population variance of non-NULL records in a group.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/var_pop
VAR_SAMP,Returns the sample variance of non-NULL records in a group.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/var_samp
"VARIANCE , VARIANCE_SAMP",Returns the sample variance of non-NULL records in a group.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/variance
VARIANCE_POP,Returns the population variance of non-NULL records in a group.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/variance_pop
VECTOR_COSINE_SIMILARITY,Computes the cosine similarity between two vectors.,Vector similarity functions,,vector,,https://docs.snowflake.com/en/sql-reference/functions/vector_cosine_similarity
VECTOR_INNER_PRODUCT,Computes the inner product of two vectors.,Vector similarity functions,,vector,,https://docs.snowflake.com/en/sql-reference/functions/vector_inner_product
VECTOR_L1_DISTANCE,Computes the L1 distance between two vectors.,Vector similarity functions,,vector,,https://docs.snowflake.com/en/sql-reference/functions/vector_l1_distance
VECTOR_L2_DISTANCE,Computes the L2 distance between two vectors.,Vector similarity functions,,vector,,https://docs.snowflake.com/en/sql-reference/functions/vector_l2_distance
W,,,,,,
WAREHOUSE_LOAD_HISTORY,This table function can be used to query the activity history (defined as the “query load”) for a single warehouse within a specified date range.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/warehouse_load_history
WAREHOUSE_METERING_HISTORY,This table function can be used in queries to return the hourly credit usage for a single warehouse (or all the warehouses in your account) within a specified date range.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/warehouse_metering_history
WIDTH_BUCKET,"Constructs equi-width histograms, in which the histogram range is divided into intervals of identical size, and returns the bucket number into which the value of an expression falls, after it has been evaluated.",Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/width_bucket
X,,,,,,
XMLGET,Extracts an XML element object (often referred to as simply a tag) from the content of the outer XML element based on the name and instance number of the specified tag.,Semi-structured and structured data functions,,semi-structured,"x,l",https://docs.snowflake.com/en/sql-reference/functions/xmlget
Y,,,,,,
YEAR* / DAY* / WEEK* / MONTH / QUARTER,Extracts the corresponding date part from a date or timestamp.,Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/year
Z,,,,,,
ZEROIFNULL,"Returns 0 if its argument is null; otherwise, returns its argument.",Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/zeroifnull
ZIPF,"Returns a Zipf-distributed integer, for N elements and characteristic exponent s.",,,generation,,https://docs.snowflake.com/en/sql-reference/functions/zipf
